"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1646},{""page_index"":1,""viewing_time"":1391}]","3038","instructions","0","3039","0.0-0.0","89080","","","","","","","","","","",""
"","1004","text","1","5045","0.0-1.0","89080","","","83","","","","","","","",""
"","26869","survey-multi-choice","2","32929","0.0-2.0-0.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","88314","Label 0","Label 0","true","false",""
"","11053","survey-multi-choice","3","46229","0.0-2.0-1.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","107039","Label 1","Label 1","true","false",""
"","6968","survey-multi-choice","4","55584","0.0-2.0-2.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","59660","Label 1","Label 1","true","false",""
"","16712","survey-multi-choice","5","74209","0.0-2.0-3.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","13923","Label 0","Label 0","true","false",""
"","7857","survey-multi-choice","6","84310","0.0-2.0-4.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","115183","Label 0","Label 0","true","false",""
"","-1","single-stim","7","116516","0.0-3.0","89080","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","25857","survey-multi-choice","8","143382","0.0-4.0-0.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","121251","Label 1","Label 1","true","false",""
"","12069","survey-multi-choice","9","157577","0.0-4.0-1.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","28482","Label 0","Label 0","true","false",""
"","7096","survey-multi-choice","10","167738","0.0-4.0-2.0","89080","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","133947","Label 1","Label 1","true","false",""
"","8873","survey-multi-choice","11","178776","0.0-4.0-3.0","89080","","","","{""Q0"":""No"",""Q1"":""Good""}","No","141885","Label 1","Label 0","true","false",""
"","11214","survey-multi-choice","12","192014","0.0-4.0-4.0","89080","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","128911","Label 1","Label 0","true","false",""
