"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":6544},{""page_index"":1,""viewing_time"":2370}]","8916","instructions","0","8917","0.0-0.0","20096","","","","","","","","","","",""
"","1295","text","1","11217","0.0-1.0","20096","","","83","","","","","","","",""
"","8988","survey-multi-choice","2","21216","0.0-2.0-0.0","20096","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","94759","Label 0","Label 0","true","false",""
"","18856","survey-multi-choice","3","42225","0.0-2.0-1.0","20096","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","66925","Label 1","Label 0","true","false",""
"","15969","survey-multi-choice","4","60219","0.0-2.0-2.0","20096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","32284","Label 1","Label 0","true","false",""
"","6339","survey-multi-choice","5","68617","0.0-2.0-3.0","20096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","131147","Label 0","Label 1","true","false",""
"","11577","survey-multi-choice","6","83710","0.0-2.0-4.0","20096","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","119417","Label 1","Label 1","true","false",""
"","-1","single-stim","7","115823","0.0-3.0","20096","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","28752","survey-multi-choice","8","145584","0.0-4.0-0.0","20096","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","107999","Label 0","Label 1","true","false",""
"","14915","survey-multi-choice","9","162394","0.0-4.0-1.0","20096","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","142560","Label 0","Label 1","true","false",""
"","27506","survey-multi-choice","10","191866","0.0-4.0-2.0","20096","","","","{""Q0"":""No"",""Q1"":""Bad""}","Yes","121023","Label 0","Label 0","false","false",""
"","18284","survey-multi-choice","11","212122","0.0-4.0-3.0","20096","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","67160","Label 0","Label 0","true","false",""
"","8690","survey-multi-choice","12","222739","0.0-4.0-4.0","20096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","101216","Label 0","Label 1","true","false",""
