"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":882},{""page_index"":1,""viewing_time"":1790}]","2673","instructions","0","2674","0.0-0.0","67786","","","","","","","","","","",""
"","1245","text","1","4920","0.0-1.0","67786","","","83","","","","","","","",""
"","14254","survey-multi-choice","2","20187","0.0-2.0-0.0","67786","","","","{""Q0"":""No"",""Q1"":""Good""}","No","19005","Label 0","Label 1","true","false",""
"","11528","survey-multi-choice","3","33859","0.0-2.0-1.0","67786","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","16827","Label 0","Label 0","true","false",""
"","42809","survey-multi-choice","4","79382","0.0-2.0-2.0","67786","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","138735","Label 0","Label 1","true","false",""
"","17655","survey-multi-choice","5","99107","0.0-2.0-3.0","67786","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","74350","Label 1","Label 0","true","false",""
"","38550","survey-multi-choice","6","139835","0.0-2.0-4.0","67786","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","65704","Label 0","Label 0","true","false",""
"","-1","single-stim","7","172189","0.0-3.0","67786","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","8627","survey-multi-choice","8","181826","0.0-4.0-0.0","67786","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","73226","Label 1","Label 1","false","false",""
"","19826","survey-multi-choice","9","221186","0.0-4.0-1.0","67786","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","58940","Label 1","Label 0","true","false",""
"","11153","survey-multi-choice","10","234862","0.0-4.0-2.0","67786","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","68352","Label 1","Label 1","true","false",""
"","16899","survey-multi-choice","11","253789","0.0-4.0-3.0","67786","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","141782","Label 0","Label 0","true","false",""
"","44828","survey-multi-choice","12","300772","0.0-4.0-4.0","67786","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","96716","Label 1","Label 1","true","false",""
