"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1372},{""page_index"":1,""viewing_time"":1416}]","2790","instructions","0","2790","0.0-0.0","87828","","","","","","","","","","",""
"","1100","text","1","4896","0.0-1.0","87828","","","83","","","","","","","",""
"","38010","survey-multi-choice","2","43921","0.0-2.0-0.0","87828","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","63596","Label 1","Label 1","true","false",""
"","14832","survey-multi-choice","3","60754","0.0-2.0-1.0","87828","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","116587","Label 0","Label 1","true","false",""
"","18475","survey-multi-choice","4","81614","0.0-2.0-2.0","87828","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","17870","Label 1","Label 1","true","false",""
"","8042","survey-multi-choice","5","92033","0.0-2.0-3.0","87828","","","","{""Q0"":""No"",""Q1"":""Good""}","No","60171","Label 1","Label 0","true","false",""
"","23092","survey-multi-choice","6","117247","0.0-2.0-4.0","87828","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","49561","Label 0","Label 0","true","false",""
"","-1","single-stim","7","149283","0.0-3.0","87828","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","11980","survey-multi-choice","8","162272","0.0-4.0-0.0","87828","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","123601","Label 0","Label 0","true","false",""
"","16697","survey-multi-choice","9","181085","0.0-4.0-1.0","87828","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","44077","Label 1","Label 1","true","false",""
"","6586","survey-multi-choice","10","189610","0.0-4.0-2.0","87828","","","","{""Q0"":""No"",""Q1"":""Good""}","No","138715","Label 0","Label 1","true","false",""
"","29022","survey-multi-choice","11","220600","0.0-4.0-3.0","87828","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","89150","Label 1","Label 0","true","false",""
"","34967","survey-multi-choice","12","257532","0.0-4.0-4.0","87828","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","52043","Label 0","Label 0","true","false",""
