"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":2699},{""page_index"":1,""viewing_time"":6105}]","8804","instructions","0","8805","0.0-0.0","84787","","","","","","","","","","",""
"","3516","text","1","13323","0.0-1.0","84787","","","83","","","","","","","",""
"","12159","survey-multi-choice","2","26494","0.0-2.0-0.0","84787","","","","{""Q0"":""No"",""Q1"":""Good""}","No","43723","Label 0","Label 1","true","false",""
"","26598","survey-multi-choice","3","55121","0.0-2.0-1.0","84787","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","51573","Label 1","Label 0","true","false",""
"","8034","survey-multi-choice","4","65158","0.0-2.0-2.0","84787","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","21496","Label 1","Label 1","true","false",""
"","8884","survey-multi-choice","5","76072","0.0-2.0-3.0","84787","","","","{""Q0"":""No"",""Q1"":""Good""}","No","59551","Label 0","Label 1","true","false",""
"","14709","survey-multi-choice","6","92733","0.0-2.0-4.0","84787","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","58623","Label 1","Label 1","true","false",""
"","-1","single-stim","7","124944","0.0-3.0","84787","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","20318","survey-multi-choice","8","146271","0.0-4.0-0.0","84787","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","61778","Label 1","Label 1","true","false",""
"","14523","survey-multi-choice","9","162966","0.0-4.0-1.0","84787","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","99130","Label 0","Label 0","true","false",""
"","10862","survey-multi-choice","10","175933","0.0-4.0-2.0","84787","","","","{""Q0"":""No"",""Q1"":""Good""}","No","76865","Label 1","Label 0","true","false",""
"","23351","survey-multi-choice","11","201401","0.0-4.0-3.0","84787","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","70326","Label 1","Label 0","true","false",""
"","11665","survey-multi-choice","12","215288","0.0-4.0-4.0","84787","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","128221","Label 1","Label 1","true","false",""
