"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1294},{""page_index"":1,""viewing_time"":1718}]","3013","instructions","0","3013","0.0-0.0","13340","","","","","","","","","","",""
"","1918","text","1","5934","0.0-1.0","13340","","","83","","","","","","","",""
"","35543","survey-multi-choice","2","42493","0.0-2.0-0.0","13340","","","","{""Q0"":""No"",""Q1"":""Good""}","No","93980","Label 1","Label 0","true","false",""
"","35996","survey-multi-choice","3","80820","0.0-2.0-1.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","33056","Label 0","Label 0","true","false",""
"","9126","survey-multi-choice","4","92065","0.0-2.0-2.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","45583","Label 1","Label 1","true","false",""
"","9153","survey-multi-choice","5","103275","0.0-2.0-3.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","143504","Label 1","Label 1","true","false",""
"","12045","survey-multi-choice","6","117552","0.0-2.0-4.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","110769","Label 1","Label 1","true","false",""
"","-1","single-stim","7","149596","0.0-3.0","13340","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","8913","survey-multi-choice","8","159519","0.0-4.0-0.0","13340","","","","{""Q0"":""No"",""Q1"":""Good""}","No","52820","Label 1","Label 0","true","false",""
"","18352","survey-multi-choice","9","180022","0.0-4.0-1.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","45117","Label 0","Label 0","true","false",""
"","8199","survey-multi-choice","10","190329","0.0-4.0-2.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","25024","Label 0","Label 0","true","false",""
"","16258","survey-multi-choice","11","208601","0.0-4.0-3.0","13340","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","111660","Label 0","Label 0","true","false",""
"","7387","survey-multi-choice","12","217960","0.0-4.0-4.0","13340","","","","{""Q0"":""No"",""Q1"":""Good""}","No","9533","Label 0","Label 1","true","false",""
