"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":31561},{""page_index"":1,""viewing_time"":1954}]","33516","instructions","0","33517","0.0-0.0","8247","","","","","","","","","","",""
"","1603","text","1","36122","0.0-1.0","8247","","","83","","","","","","","",""
"","36518","survey-multi-choice","2","73659","0.0-2.0-0.0","8247","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","136205","Label 0","Label 1","true","false",""
"","17255","survey-multi-choice","3","93872","0.0-2.0-1.0","8247","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","113424","Label 0","Label 0","true","false",""
"","28838","survey-multi-choice","4","124912","0.0-2.0-2.0","8247","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","124740","Label 0","Label 1","true","false",""
"","11035","survey-multi-choice","5","138202","0.0-2.0-3.0","8247","","","","{""Q0"":""No"",""Q1"":""Good""}","No","59334","Label 0","Label 1","true","false",""
"","60606","survey-multi-choice","6","201060","0.0-2.0-4.0","8247","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","29533","Label 1","Label 0","true","false",""
"","-1","single-stim","7","243779","0.0-3.0","8247","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","14775","survey-multi-choice","8","259565","0.0-4.0-0.0","8247","","","","{""Q0"":""No"",""Q1"":""Good""}","No","16024","Label 0","Label 1","true","false",""
"","20233","survey-multi-choice","9","282249","0.0-4.0-1.0","8247","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","44940","Label 0","Label 1","true","false",""
"","11368","survey-multi-choice","10","295951","0.0-4.0-2.0","8247","","","","{""Q0"":""No"",""Q1"":""Good""}","No","32483","Label 1","Label 0","true","false",""
"","9693","survey-multi-choice","11","307870","0.0-4.0-3.0","8247","","","","{""Q0"":""No"",""Q1"":""Good""}","No","67291","Label 1","Label 0","true","false",""
"","45943","survey-multi-choice","12","355920","0.0-4.0-4.0","8247","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","88513","Label 0","Label 0","true","false",""
