"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1083},{""page_index"":1,""viewing_time"":2106}]","3190","instructions","0","3191","0.0-0.0","95327","","","","","","","","","","",""
"","1306","text","1","5500","0.0-1.0","95327","","","83","","","","","","","",""
"","14762","survey-multi-choice","2","21274","0.0-2.0-0.0","95327","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","5814","Label 0","Label 1","true","false",""
"","27066","survey-multi-choice","3","50595","0.0-2.0-1.0","95327","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","84783","Label 1","Label 0","true","false",""
"","14325","survey-multi-choice","4","67000","0.0-2.0-2.0","95327","","","","{""Q0"":""No"",""Q1"":""Good""}","No","29565","Label 1","Label 0","true","false",""
"","35199","survey-multi-choice","5","104282","0.0-2.0-3.0","95327","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","11505","Label 0","Label 1","true","false",""
"","31088","survey-multi-choice","6","137425","0.0-2.0-4.0","95327","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","11676","Label 0","Label 0","true","false",""
"","-1","single-stim","7","169515","0.0-3.0","95327","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","28807","survey-multi-choice","8","199331","0.0-4.0-0.0","95327","","","","{""Q0"":""No"",""Q1"":""Bad""}","No","68638","Label 0","Label 1","true","false",""
"","7955","survey-multi-choice","9","209359","0.0-4.0-1.0","95327","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","82334","Label 1","Label 1","true","false",""
"","6899","survey-multi-choice","10","218415","0.0-4.0-2.0","95327","","","","{""Q0"":""No"",""Q1"":""Good""}","No","20029","Label 0","Label 1","true","false",""
"","8934","survey-multi-choice","11","229253","0.0-4.0-3.0","95327","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","5699","Label 1","Label 1","true","false",""
"","8020","survey-multi-choice","12","239303","0.0-4.0-4.0","95327","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","122521","Label 0","Label 0","true","false",""
