"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"4030","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","4476","0.0-0.0","80234","","","","","","","","","","","","","",""
"5455","","survey-multi-choice","1","10948","0.0-1.0","80234","","","{""Q0"":""35-50"",""Q1"":""Male"",""Q2"":""Bachelor's"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"8542","","instructions","2","20492","0.0-2.0","80234","","","","[{""page_index"":0,""viewing_time"":2805},{""page_index"":1,""viewing_time"":3365},{""page_index"":2,""viewing_time"":823},{""page_index"":3,""viewing_time"":1549}]","","","","","","","","","",""
"42212","","survey-multi-choice","3","63707","0.0-3.0-0.0","80234","","","{""Q0"":""No""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","true","5","false","","","","",""
"41644","","survey-multi-choice","4","109858","0.0-3.0-1.0","80234","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","2","false","","","","",""
"36513","","survey-multi-choice","5","161343","0.0-3.0-2.0","80234","","","{""Q0"":""Yes""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","true","5","false","","","","",""
"21095","","survey-multi-choice","6","187296","0.0-4.0-0.0-0.0","80234","","","{""Q0"":""Yes""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","true","8","false","","","","",""
"20156","","survey-multi-choice","7","211122","0.0-4.0-0.0-1.0","80234","","","{""Q0"":""No""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","true","6","false","","","","",""
"1442","","text","8","217247","0.0-5.0","80234","","","","","","","","","","83","","","",""
"26282","","survey-multi-choice","9","244533","0.0-6.0-0.0","80234","","","{""Q0"":""No""}","","No","","true","1","false","","gvars","clinical","5",""
"27869","","survey-multi-choice","10","277848","0.0-6.0-1.0","80234","","","{""Q0"":""Yes""}","","Yes","","true","7","false","","gvars","clinical","5.2",""
"20466","","survey-multi-choice","11","301559","0.0-6.0-2.0","80234","","","{""Q0"":""No""}","","No","","true","6","false","","gvars","clinical","5.4",""
"50213","","survey-multi-choice","12","355763","0.0-6.0-3.0","80234","","","{""Q0"":""No""}","","No","","true","1","false","","gvars","clinical","5.9",""
"12423","","survey-multi-choice","13","372075","0.0-6.0-4.0","80234","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.3",""
"-1","","single-stim","14","406895","0.0-7.0","80234","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"54212","","survey-multi-choice","15","462111","0.0-8.0-0.0","80234","","","{""Q0"":""No""}","","Yes","","false","1","false","","gvars","clinical","5.1",""
"26245","","survey-multi-choice","16","492499","0.0-8.0-1.0","80234","","","{""Q0"":""No""}","","Yes","","false","1","false","","gvars","clinical","5.6",""
"20048","","survey-multi-choice","17","516395","0.0-8.0-2.0","80234","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.5",""
"14494","","survey-multi-choice","18","534787","0.0-8.0-3.0","80234","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.8",""
"38632","","survey-multi-choice","19","578573","0.0-8.0-4.0","80234","","","{""Q0"":""No""}","","No","","true","6","false","","gvars","clinical","5.7",""
