"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"26979","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","27121","0.0-0.0","58365","","","","","","","","","","","","","",""
"6432","","survey-multi-choice","1","34571","0.0-1.0","58365","","","{""Q0"":""35-50"",""Q1"":""Female"",""Q2"":""Masters and Beyond"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"245115","","instructions","2","280687","0.0-2.0","58365","","","","[{""page_index"":0,""viewing_time"":13858},{""page_index"":1,""viewing_time"":99872},{""page_index"":2,""viewing_time"":38303},{""page_index"":3,""viewing_time"":93081}]","","","","","","","","","",""
"50659","","survey-multi-choice","3","332350","0.0-3.0-0.0","58365","","","{""Q0"":""No""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","true","6","false","","","","",""
"32860","","survey-multi-choice","4","381701","0.0-3.0-1.0","58365","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","5","false","","","","",""
"46558","","survey-multi-choice","5","444341","0.0-3.0-2.0","58365","","","{""Q0"":""No""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","false","3","false","","","","",""
"56477","","survey-multi-choice","6","511948","0.0-4.0-0.0-0.0","58365","","","{""Q0"":""No""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","false","1","false","","","","",""
"19675","","survey-multi-choice","7","537804","0.0-4.0-0.0-1.0","58365","","","{""Q0"":""No""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","true","5","false","","","","",""
"3468","","text","8","547426","0.0-5.0","58365","","","","","","","","","","83","","","",""
"49398","","survey-multi-choice","9","597828","0.0-6.0-0.0","58365","","","{""Q0"":""No""}","","No","","true","4","false","","gvars","clinical","5.9",""
"30814","","survey-multi-choice","10","635140","0.0-6.0-1.0","58365","","","{""Q0"":""Yes""}","","Yes","","true","5","false","","gvars","clinical","5.5",""
"19213","","survey-multi-choice","11","659091","0.0-6.0-2.0","58365","","","{""Q0"":""No""}","","No","","true","4","false","","gvars","clinical","5",""
"40749","","survey-multi-choice","12","707659","0.0-6.0-3.0","58365","","","{""Q0"":""No""}","","No","","true","5","false","","gvars","clinical","5.3",""
"9438","","survey-multi-choice","13","721851","0.0-6.0-4.0","58365","","","{""Q0"":""No""}","","No","","true","5","false","","gvars","clinical","5.7",""
"-1","","single-stim","14","755596","0.0-7.0","58365","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"32232","","survey-multi-choice","15","788835","0.0-8.0-0.0","58365","","","{""Q0"":""Yes""}","","Yes","","true","5","false","","gvars","clinical","5.2",""
"38084","","survey-multi-choice","16","831338","0.0-8.0-1.0","58365","","","{""Q0"":""Yes""}","","Yes","","true","5","false","","gvars","clinical","5.6",""
"34485","","survey-multi-choice","17","872130","0.0-8.0-2.0","58365","","","{""Q0"":""Yes""}","","Yes","","true","6","false","","gvars","clinical","5.1",""
"5605","","survey-multi-choice","18","881339","0.0-8.0-3.0","58365","","","{""Q0"":""No""}","","No","","true","5","false","","gvars","clinical","5.8",""
"43886","","survey-multi-choice","19","928939","0.0-8.0-4.0","58365","","","{""Q0"":""No""}","","No","","true","5","false","","gvars","clinical","5.4",""
