"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"2921","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","3239","0.0-0.0","52244","","","","","","","","","","","","","",""
"95152","","survey-multi-choice","1","99414","0.0-1.0","52244","","","{""Q0"":""35-50"",""Q1"":""Female"",""Q2"":""Bachelor's"",""Q3"":""Asia""}","","","","","","","","","","",""
"57500","","instructions","2","157914","0.0-2.0","52244","","","","[{""page_index"":0,""viewing_time"":1072},{""page_index"":1,""viewing_time"":43788},{""page_index"":2,""viewing_time"":9883},{""page_index"":3,""viewing_time"":2756}]","","","","","","","","","",""
"37695","","survey-multi-choice","3","196621","0.0-3.0-0.0","52244","","","{""Q0"":""No""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","true","10","false","","","","",""
"8474","","survey-multi-choice","4","214875","0.0-3.0-1.0","52244","","","{""Q0"":""No""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","true","10","false","","","","",""
"7500","","survey-multi-choice","5","226868","0.0-3.0-2.0","52244","","","{""Q0"":""Yes""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","true","10","false","","","","",""
"3191","","text","6","233784","0.0-5.0","52244","","","","","","","","","","83","","","",""
"13325","","survey-multi-choice","7","248115","0.0-6.0-0.0","52244","","","{""Q0"":""No""}","","Yes","","false","7","false","","gvars","clinical","5.5",""
"4275","","survey-multi-choice","8","261524","0.0-6.0-1.0","52244","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.2",""
"9196","","survey-multi-choice","9","275531","0.0-6.0-2.0","52244","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.7",""
"8221","","survey-multi-choice","10","287747","0.0-6.0-3.0","52244","","","{""Q0"":""Yes""}","","No","","false","4","false","","gvars","clinical","5",""
"4968","","survey-multi-choice","11","299645","0.0-6.0-4.0","52244","","","{""Q0"":""Yes""}","","No","","false","4","false","","gvars","clinical","5.4",""
"-1","","single-stim","12","334270","0.0-7.0","52244","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"24192","","survey-multi-choice","13","360216","0.0-8.0-0.0","52244","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.1",""
"4528","","survey-multi-choice","14","368585","0.0-8.0-1.0","52244","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.6",""
"7766","","survey-multi-choice","15","379551","0.0-8.0-2.0","52244","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.8",""
"5125","","survey-multi-choice","16","388350","0.0-8.0-3.0","52244","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.3",""
"6401","","survey-multi-choice","17","397401","0.0-8.0-4.0","52244","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.9",""
