"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"30114","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","30165","0.0-0.0","95255","","","","","","","","","","","","","",""
"30182","","survey-multi-choice","1","61376","0.0-1.0","95255","","","{""Q0"":""18-34"",""Q1"":""Male"",""Q2"":""Bachelor's"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"1584810","","instructions","2","1647188","0.0-2.0","95255","","","","[{""page_index"":0,""viewing_time"":679203},{""page_index"":1,""viewing_time"":17067},{""page_index"":2,""viewing_time"":839097},{""page_index"":3,""viewing_time"":49442}]","","","","","","","","","",""
"11698","","survey-multi-choice","3","1659915","0.0-3.0-0.0","95255","","","{""Q0"":""Yes""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","false","7","false","","","","",""
"2814","","survey-multi-choice","4","1670588","0.0-3.0-1.0","95255","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","9","false","","","","",""
"154786","","survey-multi-choice","5","1831521","0.0-3.0-2.0","95255","","","{""Q0"":""No""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","false","8","false","","","","",""
"43960","","survey-multi-choice","6","1879820","0.0-4.0-0.0-0.0","95255","","","{""Q0"":""Yes""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","true","8","false","","","","",""
"40221","","survey-multi-choice","7","1924503","0.0-4.0-0.0-1.0","95255","","","{""Q0"":""No""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","true","8","false","","","","",""
"2118","","text","8","1930515","0.0-5.0","95255","","","","","","","","","","83","","","",""
"124115","","survey-multi-choice","9","2055642","0.0-6.0-0.0","95255","","","{""Q0"":""Yes""}","","No","","false","1","false","","gvars","clinical","5.7",""
"73723","","survey-multi-choice","10","2135711","0.0-6.0-1.0","95255","","","{""Q0"":""Yes""}","","No","","false","1","false","","gvars","clinical","5",""
"33036","","survey-multi-choice","11","2172582","0.0-6.0-2.0","95255","","","{""Q0"":""No""}","","Yes","","false","1","false","","gvars","clinical","5.1",""
"41077","","survey-multi-choice","12","2217060","0.0-6.0-3.0","95255","","","{""Q0"":""No""}","","No","","true","8","false","","gvars","clinical","5.3",""
"56217","","survey-multi-choice","13","2278860","0.0-6.0-4.0","95255","","","{""Q0"":""No""}","","Yes","","false","5","false","","gvars","clinical","5.5",""
"-1","","single-stim","14","2312903","0.0-7.0","95255","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"21340","","survey-multi-choice","15","2335266","0.0-8.0-0.0","95255","","","{""Q0"":""Yes""}","","Yes","","true","8","false","","gvars","clinical","5.6",""
"32623","","survey-multi-choice","16","2371281","0.0-8.0-1.0","95255","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.2",""
"40389","","survey-multi-choice","17","2414887","0.0-8.0-2.0","95255","","","{""Q0"":""No""}","","No","","true","9","false","","gvars","clinical","5.8",""
"86474","","survey-multi-choice","18","2504636","0.0-8.0-3.0","95255","","","{""Q0"":""Yes""}","","No","","false","4","false","","gvars","clinical","5.9",""
"42648","","survey-multi-choice","19","2552921","0.0-8.0-4.0","95255","","","{""Q0"":""Yes""}","","No","","false","6","false","","gvars","clinical","5.4",""
