"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"7004","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","7104","0.0-0.0","45254","","","","","","","","","","","","","",""
"8512","","survey-multi-choice","1","16670","0.0-1.0","45254","","","{""Q0"":""35-50"",""Q1"":""Female"",""Q2"":""Bachelor's"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"180058","","instructions","2","197730","0.0-2.0","45254","","","","[{""page_index"":0,""viewing_time"":19511},{""page_index"":1,""viewing_time"":53327},{""page_index"":2,""viewing_time"":72980},{""page_index"":3,""viewing_time"":34238}]","","","","","","","","","",""
"27434","","survey-multi-choice","3","226177","0.0-3.0-0.0","45254","","","{""Q0"":""Yes""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","false","8","false","","","","",""
"25033","","survey-multi-choice","4","266323","0.0-3.0-1.0","45254","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","7","false","","","","",""
"36292","","survey-multi-choice","5","313254","0.0-3.0-2.0","45254","","","{""Q0"":""Yes""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","true","10","false","","","","",""
"23469","","survey-multi-choice","6","346925","0.0-4.0-0.0-0.0","45254","","","{""Q0"":""No""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","false","8","false","","","","",""
"25347","","survey-multi-choice","7","379719","0.0-4.0-0.0-1.0","45254","","","{""Q0"":""No""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","true","9","false","","","","",""
"2555","","text","8","387482","0.0-5.0","45254","","","","","","","","","","83","","","",""
"36581","","survey-multi-choice","9","425073","0.0-6.0-0.0","45254","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.4",""
"42958","","survey-multi-choice","10","480307","0.0-6.0-1.0","45254","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5",""
"54266","","survey-multi-choice","11","538859","0.0-6.0-2.0","45254","","","{""Q0"":""Yes""}","","No","","false","10","false","","gvars","clinical","5.7",""
"24702","","survey-multi-choice","12","568520","0.0-6.0-3.0","45254","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.6",""
"19600","","survey-multi-choice","13","592668","0.0-6.0-4.0","45254","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.1",""
"-1","","single-stim","14","626379","0.0-7.0","45254","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"23566","","survey-multi-choice","15","650957","0.0-8.0-0.0","45254","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.2",""
"24422","","survey-multi-choice","16","679443","0.0-8.0-1.0","45254","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.5",""
"27581","","survey-multi-choice","17","710685","0.0-8.0-2.0","45254","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.8",""
"14201","","survey-multi-choice","18","728680","0.0-8.0-3.0","45254","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.9",""
"23751","","survey-multi-choice","19","756839","0.0-8.0-4.0","45254","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.3",""
