"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"3242","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","3340","0.0-0.0","55545","","","","","","","","","","","","","",""
"5449","","survey-multi-choice","1","9845","0.0-1.0","55545","","","{""Q0"":""35-50"",""Q1"":""Male"",""Q2"":""Masters and Beyond"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"9206","","instructions","2","20052","0.0-2.0","55545","","","","[{""page_index"":0,""viewing_time"":1444},{""page_index"":1,""viewing_time"":2101},{""page_index"":2,""viewing_time"":3114},{""page_index"":3,""viewing_time"":2544}]","","","","","","","","","",""
"11923","","survey-multi-choice","3","32988","0.0-3.0-0.0","55545","","","{""Q0"":""No""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","true","9","false","","","","",""
"13872","","survey-multi-choice","4","51676","0.0-3.0-1.0","55545","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","7","false","","","","",""
"10603","","survey-multi-choice","5","68749","0.0-3.0-2.0","55545","","","{""Q0"":""No""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","false","7","false","","","","",""
"10928","","survey-multi-choice","6","83729","0.0-4.0-0.0-0.0","55545","","","{""Q0"":""No""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","false","6","false","","","","",""
"4198","","survey-multi-choice","7","91473","0.0-4.0-0.0-1.0","55545","","","{""Q0"":""Yes""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","false","8","false","","","","",""
"1879","","text","8","97958","0.0-5.0","55545","","","","","","","","","","83","","","",""
"47563","","survey-multi-choice","9","146531","0.0-6.0-0.0","55545","","","{""Q0"":""Yes""}","","No","","false","6","false","","gvars","clinical","5.3",""
"9006","","survey-multi-choice","10","159908","0.0-6.0-1.0","55545","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.6",""
"16050","","survey-multi-choice","11","179852","0.0-6.0-2.0","55545","","","{""Q0"":""No""}","","No","","true","8","false","","gvars","clinical","5.4",""
"20978","","survey-multi-choice","12","205020","0.0-6.0-3.0","55545","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.1",""
"20513","","survey-multi-choice","13","229556","0.0-6.0-4.0","55545","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.5",""
"-1","","single-stim","14","263579","0.0-7.0","55545","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"56542","","survey-multi-choice","15","321131","0.0-8.0-0.0","55545","","","{""Q0"":""No""}","","No","","true","8","false","","gvars","clinical","5",""
"21377","","survey-multi-choice","16","346291","0.0-8.0-1.0","55545","","","{""Q0"":""Yes""}","","No","","false","7","false","","gvars","clinical","5.7",""
"63359","","survey-multi-choice","17","413338","0.0-8.0-2.0","55545","","","{""Q0"":""No""}","","No","","true","8","false","","gvars","clinical","5.9",""
"27129","","survey-multi-choice","18","450842","0.0-8.0-3.0","55545","","","{""Q0"":""Yes""}","","No","","false","6","false","","gvars","clinical","5.8",""
"16172","","survey-multi-choice","19","470769","0.0-8.0-4.0","55545","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.2",""
