"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"301018","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","301108","0.0-0.0","59517","","","","","","","","","","","","","",""
"7517","","survey-multi-choice","1","309650","0.0-1.0","59517","","","{""Q0"":""35-50"",""Q1"":""Female"",""Q2"":""High School"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"301242","","instructions","2","611893","0.0-2.0","59517","","","","[{""page_index"":0,""viewing_time"":14632},{""page_index"":1,""viewing_time"":143366},{""page_index"":2,""viewing_time"":44316},{""page_index"":3,""viewing_time"":98927}]","","","","","","","","","",""
"48684","","survey-multi-choice","3","661584","0.0-3.0-0.0","59517","","","{""Q0"":""No""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","true","10","false","","","","",""
"31338","","survey-multi-choice","4","713275","0.0-3.0-1.0","59517","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","10","false","","","","",""
"67367","","survey-multi-choice","5","798406","0.0-3.0-2.0","59517","","","{""Q0"":""Yes""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","true","10","false","","","","",""
"214235","","survey-multi-choice","6","1016958","0.0-4.0-0.0-0.0","59517","","","{""Q0"":""Yes""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","true","10","false","","","","",""
"51882","","survey-multi-choice","7","1076664","0.0-4.0-0.0-1.0","59517","","","{""Q0"":""Yes""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","false","10","false","","","","",""
"4261","","text","8","1095492","0.0-5.0","59517","","","","","","","","","","83","","","",""
"79602","","survey-multi-choice","9","1176099","0.0-6.0-0.0","59517","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.7",""
"41872","","survey-multi-choice","10","1223666","0.0-6.0-1.0","59517","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.8",""
"54511","","survey-multi-choice","11","1282452","0.0-6.0-2.0","59517","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.9",""
"31960","","survey-multi-choice","12","1318416","0.0-6.0-3.0","59517","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5",""
"59255","","survey-multi-choice","13","1382192","0.0-6.0-4.0","59517","","","{""Q0"":""Yes""}","","No","","false","9","false","","gvars","clinical","5.4",""
"-1","","single-stim","14","1423231","0.0-7.0","59517","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"42038","","survey-multi-choice","15","1466275","0.0-8.0-0.0","59517","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.3",""
"29583","","survey-multi-choice","16","1500194","0.0-8.0-1.0","59517","","","{""Q0"":""No""}","","Yes","","false","8","false","","gvars","clinical","5.2",""
"31056","","survey-multi-choice","17","1540682","0.0-8.0-2.0","59517","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.5",""
"42531","","survey-multi-choice","18","1587219","0.0-8.0-3.0","59517","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.1",""
"41639","","survey-multi-choice","19","1633149","0.0-8.0-4.0","59517","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.6",""
