"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"4148","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","4192","0.0-0.0","23695","","","","","","","","","","","","","",""
"14175","","survey-multi-choice","1","19385","0.0-1.0","23695","","","{""Q0"":""35-50"",""Q1"":""Male"",""Q2"":""Masters and Beyond"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"227694","","instructions","2","248079","0.0-2.0","23695","","","","[{""page_index"":0,""viewing_time"":7621},{""page_index"":1,""viewing_time"":99520},{""page_index"":2,""viewing_time"":39374},{""page_index"":3,""viewing_time"":81178}]","","","","","","","","","",""
"12841","","survey-multi-choice","3","261923","0.0-3.0-0.0","23695","","","{""Q0"":""Yes""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","false","10","false","","","","",""
"10898","","survey-multi-choice","4","286129","0.0-3.0-1.0","23695","","","{""Q0"":""No""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","true","10","false","","","","",""
"5583","","survey-multi-choice","5","297132","0.0-3.0-2.0","23695","","","{""Q0"":""Yes""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","true","10","false","","","","",""
"7280","","survey-multi-choice","6","310615","0.0-4.0-0.0-0.0","23695","","","{""Q0"":""Yes""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","true","10","false","","","","",""
"4248","","survey-multi-choice","7","318217","0.0-4.0-0.0-1.0","23695","","","{""Q0"":""Yes""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","false","10","false","","","","",""
"3614","","text","8","326043","0.0-5.0","23695","","","","","","","","","","83","","","",""
"12452","","survey-multi-choice","9","339499","0.0-6.0-0.0","23695","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.9",""
"7486","","survey-multi-choice","10","351495","0.0-6.0-1.0","23695","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.2",""
"7621","","survey-multi-choice","11","363194","0.0-6.0-2.0","23695","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.5",""
"7703","","survey-multi-choice","12","374469","0.0-6.0-3.0","23695","","","{""Q0"":""Yes""}","","No","","false","10","false","","gvars","clinical","5.4",""
"7668","","survey-multi-choice","13","385866","0.0-6.0-4.0","23695","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.1",""
"-1","","single-stim","14","421614","0.0-7.0","23695","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"18068","","survey-multi-choice","15","440685","0.0-8.0-0.0","23695","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.3",""
"9586","","survey-multi-choice","16","453991","0.0-8.0-1.0","23695","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.6",""
"7548","","survey-multi-choice","17","464775","0.0-8.0-2.0","23695","","","{""Q0"":""Yes""}","","No","","false","10","false","","gvars","clinical","5.7",""
"8516","","survey-multi-choice","18","476464","0.0-8.0-3.0","23695","","","{""Q0"":""Yes""}","","No","","false","10","false","","gvars","clinical","5",""
"6905","","survey-multi-choice","19","486340","0.0-8.0-4.0","23695","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.8",""
