"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"3994","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","4066","0.0-0.0","58508","","","","","","","","","","","","","",""
"12572","","survey-multi-choice","1","17651","0.0-1.0","58508","","","{""Q0"":""35-50"",""Q1"":""Male"",""Q2"":""Bachelor's"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"153977","","instructions","2","172629","0.0-2.0","58508","","","","[{""page_index"":0,""viewing_time"":6264},{""page_index"":1,""viewing_time"":83993},{""page_index"":2,""viewing_time"":29216},{""page_index"":3,""viewing_time"":34504}]","","","","","","","","","",""
"69576","","survey-multi-choice","3","243214","0.0-3.0-0.0","58508","","","{""Q0"":""Yes""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","false","3","false","","","","",""
"47320","","survey-multi-choice","4","302138","0.0-3.0-1.0","58508","","","{""Q0"":""No""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","true","6","false","","","","",""
"66772","","survey-multi-choice","5","378055","0.0-3.0-2.0","58508","","","{""Q0"":""Yes""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","true","7","false","","","","",""
"43514","","survey-multi-choice","6","433098","0.0-4.0-0.0-0.0","58508","","","{""Q0"":""Yes""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","true","7","false","","","","",""
"27993","","survey-multi-choice","7","465906","0.0-4.0-0.0-1.0","58508","","","{""Q0"":""No""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","true","7","false","","","","",""
"2865","","text","8","474746","0.0-5.0","58508","","","","","","","","","","83","","","",""
"54025","","survey-multi-choice","9","529778","0.0-6.0-0.0","58508","","","{""Q0"":""Yes""}","","No","","false","3","false","","gvars","clinical","5.3",""
"6295","","survey-multi-choice","10","542599","0.0-6.0-1.0","58508","","","{""Q0"":""Yes""}","","No","","false","5","false","","gvars","clinical","5.9",""
"12511","","survey-multi-choice","11","559815","0.0-6.0-2.0","58508","","","{""Q0"":""Yes""}","","No","","false","5","false","","gvars","clinical","5.4",""
"2617","","survey-multi-choice","12","566927","0.0-6.0-3.0","58508","","","{""Q0"":""No""}","","No","","true","9","false","","gvars","clinical","5.8",""
"6184","","survey-multi-choice","13","578083","0.0-6.0-4.0","58508","","","{""Q0"":""No""}","","Yes","","false","5","false","","gvars","clinical","5.6",""
"-1","","single-stim","14","612248","0.0-7.0","58508","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"5363","","survey-multi-choice","15","618618","0.0-8.0-0.0","58508","","","{""Q0"":""No""}","","Yes","","false","8","false","","gvars","clinical","5.5",""
"2777","","survey-multi-choice","16","626030","0.0-8.0-1.0","58508","","","{""Q0"":""Yes""}","","No","","false","6","false","","gvars","clinical","5.7",""
"3152","","survey-multi-choice","17","633590","0.0-8.0-2.0","58508","","","{""Q0"":""Yes""}","","Yes","","true","7","false","","gvars","clinical","5.2",""
"6456","","survey-multi-choice","18","645242","0.0-8.0-3.0","58508","","","{""Q0"":""Yes""}","","Yes","","true","9","false","","gvars","clinical","5.1",""
"2763","","survey-multi-choice","19","652714","0.0-8.0-4.0","58508","","","{""Q0"":""No""}","","No","","true","5","false","","gvars","clinical","5",""
